cluster_kmeans,stress_score,depression_bin,anxiety_bin,panic_bin
0,2.4761904761904763,0.8571428571428571,1.0,0.6190476190476191
1,0.38333333333333336,0.16666666666666666,0.21666666666666667,0.0
2,1.35,0.35,0.0,1.0
