cluster_hier,stress_score,depression_bin,anxiety_bin,panic_bin
0,0.26,0.0,0.26,0.0
1,1.2333333333333334,0.5666666666666667,0.0,0.6666666666666666
2,2.4761904761904763,0.8571428571428571,1.0,0.6190476190476191
